state_code,county_code,site_num,poc,date_local,latitude,longitude,state_name,county_name,city_name,cbsa_name,arithmetic_mean,pm25_max,aqi,wind_mean,press_mean,rh_mean,dew_point_max,PRCP,TMAX,TMIN,month,year,season,high_pm25_day
6,37,1103,1,2024-02-22,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",9.679166666666667,14.3,50.5,67.0958335,1009.583333,79.208333,98.0,0.0,17.2,10.6,2,2024,Winter,0
6,37,1103,1,2024-02-23,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",7.006944333333333,14.8,37.5,51.752083,1005.208333,49.875,88.0,0.0,24.4,11.1,2,2024,Winter,0
6,37,1103,1,2024-02-24,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",8.16979175,16.8,44.666666666666664,69.98750000000001,1004.333333,47.166667,69.0,0.0,24.4,12.8,2,2024,Winter,0
6,37,1103,1,2024-02-25,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",11.413889,22.4,55.0,83.64375000000001,1004.791667,69.541667,97.0,0.0,17.8,12.8,2,2024,Winter,0
6,37,1103,1,2024-02-26,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",13.022222333333334,22.2,58.5,71.8666665,1003.75,84.875,99.0,1.3,17.2,11.7,2,2024,Winter,0
6,37,1103,1,2024-02-27,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",11.847222333333335,19.0,56.0,96.03958300000001,1002.833333,83.625,97.0,0.0,16.7,11.7,2,2024,Winter,0
6,37,1103,1,2024-02-28,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",11.219444333333334,17.6,55.0,72.5625,1004.291667,79.875,97.0,0.0,17.8,10.0,2,2024,Winter,0
6,37,1103,1,2024-02-29,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",9.609722333333332,19.3,51.5,91.7208335,1008.25,82.416667,93.0,0.0,16.1,13.3,2,2024,Winter,0
6,37,1103,1,2024-03-01,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",3.45833325,8.3,19.0,74.935417,1007.541667,78.916667,94.0,0.3,16.7,12.2,3,2024,Spring,0
6,37,1103,1,2024-03-02,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",2.459722333333333,5.4,13.5,111.1354165,1004.208333,90.416667,100.0,5.8,15.6,11.1,3,2024,Spring,0
6,37,1103,1,2024-03-03,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",4.354166666666667,8.5,23.5,84.45625000000001,1004.583333,83.416667,100.0,1.8,16.1,9.4,3,2024,Spring,0
6,37,1103,1,2024-03-04,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",7.286111000000001,14.3,40.0,60.0416665,1005.833333,72.583333,95.0,0.0,17.2,7.8,3,2024,Spring,0
6,37,1103,1,2024-03-05,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",7.3374999999999995,12.1,40.0,69.4020835,1004.666667,76.208333,93.0,0.0,16.7,8.3,3,2024,Spring,0
6,37,1103,1,2024-03-06,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",4.3857143333333335,9.2,23.5,58.045832999999995,1000.125,88.291667,99.0,17.0,16.1,10.0,3,2024,Spring,0
6,37,1103,1,2024-03-07,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",4.90520825,9.0,26.333333333333332,72.36458300000001,1000.25,77.958333,98.0,0.8,16.7,8.9,3,2024,Spring,0
6,37,1103,3,2024-03-08,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",9.508333499999999,14.8,52.0,72.4625,1006.833333,77.041667,94.0,0.0,20.6,9.4,3,2024,Spring,0
6,37,1103,1,2024-03-09,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",9.748610999999999,18.5,51.5,71.7354165,1006.833333,66.541667,94.0,0.0,18.9,8.9,3,2024,Spring,0
6,37,1103,1,2024-03-10,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",7.7069443333333325,15.1,41.5,62.8770835,1005.625,59.25,87.0,0.0,17.8,9.4,3,2024,Spring,0
6,37,1103,1,2024-03-11,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",6.9875,12.1,38.0,82.422917,1005.916667,75.875,97.0,0.0,16.7,9.4,3,2024,Spring,0
6,37,1103,1,2024-03-12,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",6.340277666666666,10.9,34.0,86.39791650000001,1006.75,75.083333,90.0,0.0,16.7,11.1,3,2024,Spring,0
6,37,1103,1,2024-03-13,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",7.253125,12.4,40.0,55.2979165,1002.25,65.041667,96.0,0.0,18.9,12.2,3,2024,Spring,0
6,37,1103,1,2024-03-14,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",7.259722333333333,13.8,39.5,49.3770835,997.083333,37.75,88.0,0.0,21.1,11.1,3,2024,Spring,0
6,37,1103,1,2024-03-15,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",5.751389,11.5,30.5,85.44791699999999,997.708333,51.625,76.0,0.0,20.6,12.8,3,2024,Spring,0
6,37,1103,1,2024-03-16,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",6.606944333333334,14.6,36.5,83.13333300000001,1003.833333,71.75,93.0,0.0,18.9,11.1,3,2024,Spring,0
6,37,1103,1,2024-03-17,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",9.094444333333334,13.9,49.5,73.154167,1005.083333,72.166667,92.0,0.0,18.9,10.0,3,2024,Spring,0
6,37,1103,1,2024-03-18,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",10.670833333333334,19.7,53.5,74.20625,1004.416667,66.875,92.0,0.0,20.6,10.6,3,2024,Spring,0
6,37,1103,1,2024-03-19,34.06659,-118.22688,California,Los Angeles,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",10.23020825,14.8,53.0,82.7916665,1004.0,67.166667,89.0,0.0,20.0,12.2,3,2024,Spring,0
